iter,train_loss,train_err,dev_loss,dev_err
1,0.00018772672731902319,0.0,0.00019813806601640173,0.0
2,3.2091263783281671e-05,0.0,3.3467823735814243e-05,0.0
3,1.2613574795359312e-05,0.0,1.3102861895604923e-05,0.0
4,6.6434699709991204e-06,0.0,6.888061133623598e-06,0.0
5,4.0741878312483072e-06,0.0,4.2194913772770572e-06,0.0
6,2.7435423861225622e-06,0.0,2.8393075921984925e-06,0.0
7,1.9683580309317329e-06,0.0,2.0359960863395095e-06,0.0
8,1.4783591405339424e-06,0.0,1.5285485027366116e-06,0.0
9,1.1494637969636187e-06,0.0,1.1881082050375707e-06,0.0
10,9.1830108998357412e-07,0.0,9.4892297656221542e-07,0.0
11,7.4979770648814175e-07,0.0,7.7462575627896067e-07,0.0
12,6.2328144000513571e-07,0.0,6.437930562184806e-07,0.0
13,5.2593504717575922e-07,0.0,5.4314746311435966e-07,0.0
14,4.4947322530955816e-07,0.0,4.6410922284288828e-07,0.0
15,3.8834979952594644e-07,0.0,4.0093674844536288e-07,0.0
